#group,false,false,false,false,false,false,false,false,false
#datatype,double,double,double,double,double,double,double,double,dateTime:RFC3339
#default,,,,,,,,,
,aht_hum,aht_temp,dht11_hum,dht11_temp,dht22_hum,dht22_temp,sht_hum,sht_temp,time
,82.06,21.93,83,21.6,77.9,22.6,77.21,22.23,2025-07-22T07:11:14.860003174Z
,82.1,21.92,82.6,21.7,77.9,22.6,77.24,22.23,2025-07-22T07:12:21.447226814Z
,82.49,21.92,82.2,21.7,77.7,22.6,77.27,22.23,2025-07-22T07:13:14.436452316Z
,82.04,21.95,82,21.8,77.7,22.5,77.14,22.24,2025-07-22T07:14:14.554412405Z
,81.81,21.99,81.9,21.8,77.7,22.5,77.06,22.27,2025-07-22T07:15:14.461878388Z
,81.91,21.99,81.6,21.8,77.5,22.6,77.04,22.29,2025-07-22T07:16:14.575185114Z
,81.78,22.02,81.4,21.9,77.3,22.6,77.14,22.3,2025-07-22T07:17:14.694836403Z
,81.83,22.04,81.3,21.9,77.5,22.7,76.99,22.36,2025-07-22T07:18:14.816669727Z
,81.71,22.04,81.2,22,77.2,22.7,76.97,22.33,2025-07-22T07:19:14.499028533Z
,81.73,22.08,81.1,22,77.1,22.7,76.99,22.37,2025-07-22T07:20:28.027663043Z
,81.69,22.09,81,22,77.3,22.7,77.14,22.36,2025-07-22T07:21:27.034868631Z
,81.93,22.06,81,22,77.1,22.7,77.29,22.34,2025-07-22T07:22:20.073836023Z
,82.05,22.1,81.1,22,77.4,22.7,77.31,22.37,2025-07-22T07:23:18.528570668Z
,82.17,22.1,81.2,22,77.7,22.7,77.25,22.39,2025-07-22T07:24:14.531106556Z
,82.14,22.11,81.3,22,77.6,22.8,77.38,22.4,2025-07-22T07:25:14.532001739Z
,82.09,22.15,81.3,22,77.7,22.8,77.31,22.41,2025-07-22T07:26:19.041666243Z
,82.32,22.11,81.2,22.1,77.5,22.8,77.54,22.41,2025-07-22T07:27:21.917109152Z
,82.27,22.12,81.2,22.1,77.7,22.8,77.41,22.43,2025-07-22T07:28:19.042810617Z
,82.29,22.15,81.2,22.1,77.7,22.7,77.4,22.43,2025-07-22T07:29:17.847368864Z
,82.21,22.16,81.2,22.1,77.7,22.8,77.36,22.44,2025-07-22T07:30:17.053318721Z
,82.2,22.14,81.2,22.1,77.6,22.8,77.34,22.44,2025-07-22T07:31:14.578532019Z
,82.03,22.16,81.1,22.1,77.7,22.9,77.12,22.44,2025-07-22T07:32:14.486792211Z
,81.89,22.17,81,22.1,77.5,22.8,76.93,22.47,2025-07-22T07:33:14.389409374Z
,81.88,22.18,80.9,22.1,77.5,22.9,77.09,22.48,2025-07-22T07:34:14.692579734Z
,82.03,22.18,80.9,22.2,77.3,22.9,77.11,22.47,2025-07-22T07:35:14.501482795Z
,82.03,22.19,80.9,22.2,77.3,22.9,77.09,22.48,2025-07-22T07:36:16.639177425Z
,81.91,22.18,80.9,22.2,77.4,22.9,76.86,22.51,2025-07-22T07:37:14.54194647Z
,81.57,22.22,80.9,22.2,77,22.9,76.76,22.5,2025-07-22T07:38:14.512439435Z
,81.5,22.23,80.9,22.2,77,22.9,76.78,22.51,2025-07-22T07:39:14.520341997Z
,81.34,22.27,80.7,22.2,76.9,22.9,76.67,22.54,2025-07-22T07:40:14.56126329Z
,81.25,22.26,80.5,22.2,76.7,22.9,76.56,22.54,2025-07-22T07:41:17.343154245Z
,81.32,22.24,80.4,22.2,76.7,23,76.6,22.54,2025-07-22T07:42:23.083829389Z
,81.3,22.27,80.4,22.2,76.6,23,76.62,22.57,2025-07-22T07:43:14.548316083Z
,81.46,22.28,80.4,22.2,76.9,22.9,76.7,22.57,2025-07-22T07:44:14.549608878Z
,81.35,22.29,80.4,22.2,76.7,23,76.63,22.58,2025-07-22T07:45:14.463148215Z
,81.46,22.3,80.4,22.2,77,22.9,76.76,22.61,2025-07-22T07:46:14.469958218Z
,81.32,22.32,80.3,22.3,76.9,22.9,76.75,22.6,2025-07-22T07:47:14.47250622Z
,81.47,22.31,80.3,22.3,76.8,23,76.87,22.61,2025-07-22T07:48:14.583146558Z
,79.13,22.8,81.3,22.4,75.4,23.3,75.57,22.96,2025-07-22T08:11:30.162890026Z
,78.93,22.9,80.4,22.5,75.2,23.4,75.61,22.95,2025-07-22T08:12:30.050634463Z
,78.64,22.85,79.9,22.6,75.1,23.5,75.38,22.98,2025-07-22T08:13:30.191282992Z
,78.9,22.87,79.4,22.6,74.9,23.4,75.56,22.99,2025-07-22T08:14:30.119872433Z
,78.91,22.9,79.3,22.7,75.3,23.4,75.67,23.02,2025-07-22T08:15:30.175126308Z
,78.53,22.97,79.1,22.8,75,23.5,75.3,23.04,2025-07-22T08:16:30.239731771Z
,78.27,22.93,78.9,22.8,74.8,23.5,75.09,23.05,2025-07-22T08:17:35.384145742Z
,78.13,22.92,78.7,22.8,74.5,23.6,74.95,23.06,2025-07-22T08:18:29.840471595Z
,78.32,22.9,78.4,22.9,74.1,23.6,74.95,23.04,2025-07-22T08:19:30.114233901Z
,78.47,22.89,78.3,22.8,74.1,23.5,75.13,23.05,2025-07-22T08:20:30.280975907Z
,78.66,22.94,78.3,22.8,74.2,23.6,75.26,23.08,2025-07-22T08:21:29.965042906Z
,78.44,23.03,78.5,22.8,74.9,23.6,75.25,23.11,2025-07-22T08:22:30.000189469Z
,78.31,23,78.5,22.9,74.7,23.7,75.07,23.14,2025-07-22T08:23:30.237759218Z
,78.15,22.98,78.3,22.9,74.5,23.7,75,23.15,2025-07-22T08:24:29.982656107Z
,78.3,22.98,78.2,22.9,74.4,23.7,75.01,23.14,2025-07-22T08:25:30.199322626Z
,78.28,23.01,78.2,22.9,73.8,23.6,75,23.14,2025-07-22T08:26:30.037558038Z
,78.02,23.06,78.2,23,74.4,23.7,74.93,23.22,2025-07-22T08:27:32.881759421Z
,77.8,23.11,78.2,23,74.2,23.7,74.69,23.23,2025-07-22T08:28:30.098793426Z
,77.81,23.03,78.1,23.1,74.2,23.8,74.4,23.22,2025-07-22T08:29:30.190888059Z
,77.77,23.05,77.8,23,73.7,23.8,74.66,23.22,2025-07-22T08:30:36.378298268Z
,77.65,23.03,77.8,23,74.2,23.8,74.44,23.19,2025-07-22T08:31:30.099316986Z
,77.69,23.11,77.8,23,73.9,23.7,74.57,23.29,2025-07-22T08:32:30.092874699Z
,77.31,23.15,77.8,23,73.9,23.8,74.16,23.25,2025-07-22T08:33:29.944678755Z
,76.82,23.01,77.4,23.1,73.4,23.8,73.53,23.23,2025-07-22T08:34:30.115349099Z
,77.17,23.06,77,23,72.7,23.8,73.94,23.25,2025-07-22T08:35:29.982243583Z
,76.78,23.23,77.2,23,73.2,23.8,73.73,23.3,2025-07-22T08:36:30.275009324Z
,76.3,23.34,77.1,23,73.2,23.8,73.92,23.36,2025-07-22T08:37:29.986128049Z
,75.93,23.45,77.2,23.1,73.5,23.8,73.98,23.39,2025-07-22T08:38:30.12335264Z
,75.62,23.37,77,23.2,73.4,23.9,73.46,23.36,2025-07-22T08:39:29.881772869Z
,75.58,23.33,75.6,23.2,71.5,24.1,74.69,23.49,2025-07-22T08:43:31.569034408Z
,75.36,23.55,75.9,23.2,73.3,24,72.63,23.52,2025-07-22T08:44:52.687511324Z
,74.6,23.33,76,23.2,71.8,24,72.08,23.54,2025-07-22T08:45:31.475350231Z
,75.06,23.3,75.6,23.2,71.5,23.9,72.03,23.56,2025-07-22T08:46:31.467327865Z
,75.01,23.28,75.5,23.2,71.8,23.9,71.83,23.57,2025-07-22T08:47:31.592704035Z
,75.14,23.26,75.5,23.2,71.5,23.9,72,23.6,2025-07-22T08:48:31.71676583Z
,75.21,23.28,75.5,23.2,71.9,24,71.99,23.59,2025-07-22T08:49:31.388837708Z
,75.98,23.33,75.6,23.2,72,23.9,72.81,23.64,2025-07-22T08:50:34.084011317Z
,75.61,23.33,76.6,23.3,72.4,24,72.29,23.67,2025-07-22T08:51:31.403987552Z
,75.5,23.32,75.8,23.3,72.3,23.9,72.13,23.66,2025-07-22T08:52:31.510693262Z
,76.32,23.33,75.6,23.3,71.9,24,72.78,23.69,2025-07-22T08:53:31.412161908Z
,76.75,23.45,75.8,23.3,72.4,24,72.08,23.67,2025-07-22T08:54:31.427268202Z
,75.07,23.43,75.5,23.3,71.8,24.1,71.93,23.66,2025-07-22T08:55:31.463963007Z
,74.91,23.44,75.3,23.3,71.5,23.9,72,23.66,2025-07-22T08:56:34.812869077Z
,74.77,23.42,75.4,23.3,71.7,24,71.96,23.64,2025-07-22T08:57:32.591910171Z
,75.87,23.57,75.1,23.3,71.5,24,72.98,23.92,2025-07-22T08:58:31.374081387Z
,74.61,23.47,79.7,23.6,72,24.1,71.6,23.78,2025-07-22T08:59:31.613924406Z
,74.3,23.51,75.6,23.5,71.3,24.1,71.41,23.78,2025-07-22T09:00:31.379589852Z
,74.22,23.47,74.8,23.5,70.9,24.2,71.51,23.73,2025-07-22T09:01:31.370933347Z
,74.47,23.47,74.6,23.4,71.1,24.2,71.93,23.69,2025-07-22T09:02:31.588052957Z
,74.37,23.42,74.6,23.4,71.2,24.1,71.47,23.67,2025-07-22T09:03:31.38407413Z
,74.71,23.4,74.5,23.3,71.2,24,71.7,23.64,2025-07-22T09:04:31.413877178Z
,74.51,23.44,74.9,23.3,71.4,24,71.7,23.64,2025-07-22T09:05:31.615723992Z
,74.59,23.41,74.9,23.3,71.7,24,71.68,23.67,2025-07-22T09:06:31.527005624Z
,75.02,23.44,74.9,23.3,71.4,24,72.26,23.67,2025-07-22T09:07:31.411996607Z
,74.59,23.45,74.9,23.4,70.9,24.2,71.57,23.69,2025-07-22T09:11:09.15199229Z
,74.3,23.45,74.8,23.3,71.1,24.1,71.52,23.67,2025-07-22T09:12:06.2593452Z
,74.28,23.47,74.7,23.3,71.2,24.1,71.56,23.67,2025-07-22T09:13:06.265289637Z
,74.42,23.4,74.8,23.3,71.1,24,71.62,23.64,2025-07-22T09:14:06.277290431Z
,74.65,23.39,74.6,23.3,71.6,24,71.69,23.64,2025-07-22T09:15:06.282750315Z
,74.79,23.38,74.8,23.3,71.5,23.9,71.89,23.66,2025-07-22T09:16:09.25333553Z
,75.28,23.36,75.2,23.2,72,23.9,71.94,23.62,2025-07-22T09:17:06.607819321Z
,74.82,23.29,75.3,23.2,72.3,23.8,71.87,23.56,2025-07-22T09:18:06.207207854Z
